repo,agent,rel_path,skill_dir,yaml_name,size_lines,commit_hash,commit_date,commit_message,has_acf_cochange,total_cochanged,provenance_auto,provenance_lana,notes
AArnott/Nerdbank.MessagePack,Copilot,.github/skills/update-library-template/SKILL.md,.github/skills,update-library-template,68,,,,,,unknown,unknown,No introduction commit was available in the extracted history.
AArnott/Xunit.SkippableFact,Copilot,.github/skills/update-library-template/SKILL.md,.github/skills,update-library-template,68,c8b42f289002,2/8/2026,Add Copilot prompt to automate Library.Template updates,FALSE,2,scratch,scratch,Automatic signal and commit metadata suggest project-specific creation.
Arenukvern/mcp_flutter,Cursor,.claude/skills/gitnexus/gitnexus-cli/SKILL.md,.claude/skills,gitnexus-cli,83,890b2b99d734,4/30/2026,fix: docs,TRUE,20,marketplace_signal,marketplace,Only weak/bulk marketplace signal was available; not enough evidence for marketplace provenance.
Arenukvern/mcp_flutter,Cursor,.claude/skills/gitnexus/gitnexus-debugging/SKILL.md,.claude/skills,gitnexus-debugging,90,890b2b99d734,4/30/2026,fix: docs,TRUE,20,marketplace_signal,marketplace,Only weak/bulk marketplace signal was available; not enough evidence for marketplace provenance.
Arenukvern/mcp_flutter,Cursor,.claude/skills/gitnexus/gitnexus-exploring/SKILL.md,.claude/skills,gitnexus-exploring,79,890b2b99d734,4/30/2026,fix: docs,TRUE,20,marketplace_signal,marketplace,Only weak/bulk marketplace signal was available; not enough evidence for marketplace provenance.
Arize-ai/openinference,Cursor,.claude/skills/genai-conformance/SKILL.md,.claude/skills,genai-conformance,101,584cb4ad764e,5/14/2026,feat(genai): Add optional OITracer GenAI semconv export (#3024),FALSE,18,marketplace_signal,scratch,Only weak/bulk marketplace signal was available; not enough evidence for marketplace provenance.
Arize-ai/openinference,Cursor,.claude/skills/python-canary-fix/SKILL.md,.claude/skills,python-canary-fix,63,a56ab244d6bf,3/31/2026,ci: add Claude Code auto-fix step to Python canary cron (#2932),FALSE,2,scratch_likely,scratch,Automatic signal and commit metadata suggest project-specific creation.
Azure-Samples/azure-search-openai-demo,Copilot,.github/skills/github-pr-inline-reply/SKILL.md,.github/skills,github-pr-inline-reply,132,76ecb488ca74,1/23/2026,Add skill (#2930),FALSE,2,scratch,scratch,Commit message explicitly introduces or updates project-specific skill files.
Azure/AppConfiguration,Copilot,.github/skills/release-notes/SKILL.md,.github/skills,release-notes,177,aa293d3097c4,3/18/2026,Release Notes Skill (#1142),TRUE,2,from_acf_signal,from_acf,"ACF co-changed with skill introduction, suggesting ACF-derived or ACF-synchronized skill."
Azure/autorest.typescript,Copilot,.github/skills/bump-emitter-version/SKILL.md,.github/skills,bump-emitter-version,244,,,,,,unknown,unknown,No introduction commit was available in the extracted history.
Azure/autorest.typescript,Copilot,.github/skills/spector-test-implementer/SKILL.md,.github/skills,spector-test-implementer,182,7375475592eb,2/27/2026,Spector test skill (#3786),FALSE,2,scratch_likely,scratch,Automatic signal and commit metadata suggest project-specific creation.
Azure/awesome-azd,Copilot,.github/skills/awesome-azd-template-submit/SKILL.md,.github/skills,awesome-azd-template-submit,132,0fcb20b8c1f7,4/6/2026,Add automated template submission pipeline (#799),FALSE,22,marketplace_signal,marketplace,Only weak/bulk marketplace signal was available; not enough evidence for marketplace provenance.
Azure/azqr,Copilot,.github/skills/azqr-developer/SKILL.md,.github/skills,azqr-developer,386,e1d7d0425d17,1/16/2026,feat: copikot skills for azqr-developer,TRUE,4,scratch,scratch,Automatic signal and commit metadata suggest project-specific creation.
Azure/azure-container-networking,Copilot,.github/skills/acn-go-context-lifecycle/SKILL.md,.github/skills,acn-go-context-lifecycle,333,,,,,,unknown,unknown,No introduction commit was available in the extracted history.
